Date,Close,Returns,1to1,Running Total(1),1to2,Running Total(2),1to4,Running Total(4),1to8,Running Total(8),1to16,Running Total(16),1to32,Running Total(32)
12/3/62,61.94,-0.005139737,-0.005465586,-0.35076901,-0.00542757,-0.474131819,-0.005592677,0.061642258,-0.005577099,0.072702681,-0.005452013,0.161513875,-0.005283831,0.114591218
11/30/62,62.26,-0.002403461,-0.00272931,-0.35349832,-0.002691294,-0.476823113,-0.002856402,0.058785857,-0.002840824,0.069861858,-0.002715737,0.158798137,-0.002547556,0.112043663
11/29/62,62.41,0.004668384,0.004342534,-0.349155786,0.004380551,-0.472442562,0.004215443,0.0630013,0.004231021,0.074092879,0.004356107,0.163154245,0.004524289,0.116567952
11/28/62,62.12,0.006317836,0.005991986,-0.343163799,0.006030003,-0.46641256,0.005864895,0.068866195,0.005880473,0.079973352,0.006005559,0.169159804,0.006173741,0.122741693
11/27/62,61.73,0.006029987,0.005704138,-0.337459661,0.005742154,-0.460670406,0.005577046,0.074443242,0.005592624,0.085565977,0.005717711,0.174877515,0.005885892,0.128627585
11/26/62,61.36,-0.002924927,-0.003250776,-0.340710438,-0.00321276,-0.463883166,-0.003377867,0.071065374,-0.003362289,0.082203687,-0.003237203,0.171640311,-0.003069022,0.125558563
11/23/62,61.54,0.012004605,0.011678755,-0.329031682,0.011716771,-0.452166394,0.011551664,0.082617038,0.011567242,0.093770929,0.011692328,0.18333264,0.01186051,0.137419073
11/21/62,60.81,0.005955335,0.005629486,-0.323402197,0.005667502,-0.446498892,0.005502394,0.088119432,0.005517972,0.099288902,0.005643059,0.188975698,0.00581124,0.143230313
11/20/62,60.45,0.010531595,0.010205745,-0.313196451,0.010243762,-0.436255131,0.010078654,0.098198087,0.010094232,0.109383134,0.010219318,0.199195017,0.0103875,0.153617813
11/19/62,59.82,-0.005651596,-0.005977445,-0.319173896,-0.005939429,-0.442194559,-0.006104536,0.09209355,-0.006088958,0.103294176,-0.005963872,0.193231145,-0.005795691,0.147822122
11/16/62,60.16,0.003168251,0.002842401,-0.316331495,0.002880418,-0.439314142,0.00271531,0.09480886,0.002730888,0.106025064,0.002855974,0.196087119,0.003024156,0.150846278
11/15/62,59.97,-0.003158245,-0.003484094,-0.319815589,-0.003446078,-0.442760219,-0.003611185,0.091197675,-0.003595607,0.102429457,-0.003470521,0.192616598,-0.003302339,0.147543939
11/14/62,60.16,0.01177262,0.011446771,-0.308368818,0.011484787,-0.431275432,0.01131968,0.102517355,0.011335258,0.113764714,0.011460344,0.204076942,0.011628525,0.159172464
11/13/62,59.46,-0.002181574,-0.002507423,-0.310876241,-0.002469407,-0.433744839,-0.002634515,0.09988284,-0.002618937,0.111145778,-0.00249385,0.201583091,-0.002325669,0.156846796
11/12/62,59.59,0.013780197,0.013454348,-0.297421893,0.013492364,-0.420252475,0.013327257,0.113210097,0.013342835,0.124488612,0.013467921,0.215051012,0.013636103,0.170482898
11/9/62,58.78,0.007887517,0.007561668,-0.289860225,0.007599684,-0.412652791,0.007434577,0.120644673,0.007450155,0.131938767,0.007575241,0.222626253,0.007743422,0.178226321
11/8/62,58.32,-0.006642821,-0.00696867,-0.296828895,-0.006930654,-0.419583444,-0.007095761,0.113548912,-0.007080183,0.124858584,-0.006955097,0.215671156,-0.006786915,0.171439405
11/7/62,58.71,0.006169666,0.005843817,-0.290985079,0.005881833,-0.413701612,0.005716725,0.119265637,0.005732303,0.130590887,0.005857389,0.221528546,0.006025571,0.177464976
11/5/62,58.35,0.01038961,0.010063761,-0.280921318,0.010101777,-0.403599834,0.00993667,0.129202307,0.009952248,0.140543135,0.010077334,0.23160588,0.010245516,0.187710492
11/2/62,57.75,0.011029412,0.010703562,-0.270217755,0.010741579,-0.392858255,0.010576471,0.139778778,0.010592049,0.151135184,0.010717135,0.242323015,0.010885317,0.198595809
11/1/62,57.12,0.010615711,0.010289862,-0.259927893,0.010327878,-0.382530377,0.010162771,0.149941549,0.010178349,0.161313533,0.010303435,0.25262645,0.010471616,0.209067425
